Unnamed: 0,title,year,age_group,imdb,rotten_tomato,streaming,title2
7075,Highlander: The Series,1992,16+,7.2,,Amazon,
7076,If Only,2004,13+,7.2,,Amazon,
7077,Starfish,2018,,5.3,90.0,Amazon,starfish
7078,Interstate 60,2002,18+,7.7,,Amazon,
7079,Lewis,2007,16+,8.0,,Amazon,lewis
7080,Toast,2010,,6.6,62.0,Amazon,toast
7081,The Island President,2012,7+,7.2,98.0,Amazon,the island
7082,Not Another Teen Movie,2001,18+,5.7,29.0,Amazon,not another teen movie
7083,Overboard,2018,13+,6.0,24.0,Amazon,overboard
7084,Father's Little Dividend,1951,,6.6,10.0,Amazon,
7085,Alpha House,2013,16+,7.5,79.0,Amazon,alpha house
7086,Le Week-End,2013,18+,6.3,89.0,Amazon,le week-end
7087,Top Spin,2014,,6.9,10.0,Amazon,
7088,Evelyn,2002,7+,7.0,64.0,Amazon,evelyn
7089,The Grand Seduction,2013,13+,7.0,59.0,Amazon,the g
7090,Pray the Devil Back to Hell,2008,,7.7,10.0,Amazon,
7091,He Walked by Night,1949,,7.2,86.0,Amazon,
7092,"Hale County This Morning, This Evening",2018,,6.3,97.0,Amazon,this evening
7093,Romanzo Criminale,2008,16+,8.6,,Amazon,romanzo criminale
7094,Dororo,2019,18+,8.4,,Amazon,dororo
7095,"Tomorrow, When the War Began",2010,18+,6.2,64.0,Amazon,
7096,Punching the Clown,2010,,7.2,87.0,Amazon,
7097,Shifty,2009,,6.5,96.0,Amazon,shifty
7098,Hand of God,2014,18+,7.5,30.0,Amazon,hand of god
7099,The Thief,1997,18+,7.7,88.0,Amazon,the thief and the imbecile
7100,This Is England '86,2010,18+,8.3,,Amazon,this is england '86
7101,Foxy Brown,1974,18+,6.5,60.0,Amazon,foxy brown
7102,The Uninvited,2009,13+,6.3,31.0,Amazon,
7103,Bellflower,2011,18+,6.4,73.0,Amazon,bellflower
7104,Hot Summer Nights,2018,18+,6.4,43.0,Amazon,summer night
7105,Bachna Ae Haseeno,2008,7+,6.2,63.0,Amazon,
7106,Woman on the Run,1950,7+,7.3,83.0,Amazon,
7107,Universal Soldier,1992,18+,6.0,29.0,Amazon,
7108,The Wipers Times,2013,7+,7.0,88.0,Amazon,
7109,Lumumba,2000,,7.2,81.0,Amazon,lumumba
7110,The Reef,2010,18+,5.8,80.0,Amazon,life on the reef
7111,Code Black,2014,,7.2,88.0,Amazon,
7112,Black Sunday,1977,18+,6.8,69.0,Amazon,black sunday
7113,A Gifted Man,2011,7+,7.0,66.0,Amazon,
7114,Black Pond,2011,,6.0,10.0,Amazon,
7115,Deranged,2012,,6.4,60.0,Amazon,deranged
7116,Low Tide,2019,18+,6.2,71.0,Amazon,
7117,Don't Come Back from the Moon,2019,,5.6,88.0,Amazon,
7118,On Her Shoulders,2018,,7.1,96.0,Amazon,
7119,Big Nothing,2006,18+,6.8,46.0,Amazon,
7120,The Poughkeepsie Tapes,2007,18+,6.1,60.0,Amazon,
7121,Mid-August Lunch,2008,,7.0,88.0,Amazon,
7122,The Wild and Wonderful Whites of West Virginia,2009,18+,7.1,60.0,Amazon,the wild and wonderful whites of west virginia (10th anniversary edition)
7123,A Christmas Prince,2017,7+,5.7,73.0,Amazon,a christmas princeoriginal
7124,Jab We Met,2007,13+,7.9,,Amazon,
7125,Night Tide,1963,,6.4,10.0,Amazon,
7126,Most Beautiful Island,2017,,5.7,93.0,Amazon,
7127,The Yellow Handkerchief,2009,13+,6.7,66.0,Amazon,
7128,Blood Tea and Red String,2006,,7.1,91.0,Amazon,blood tea and red string
7129,The Russian Woodpecker,2015,,6.8,96.0,Amazon,
7130,Louder Than Bombs,2015,18+,6.6,72.0,Amazon,
7131,Stage Beauty,2004,18+,7.1,64.0,Amazon,stage beauty
7132,The Bookshop,2017,7+,6.5,57.0,Amazon,
7133,Mad Dogs,2015,18+,7.5,66.0,Amazon,mad dogs
7134,The Son of Bigfoot,2017,7+,6.1,76.0,Amazon,the son of bigfoot
7135,David and Lisa,1962,,7.2,83.0,Amazon,
7136,Shade,2003,18+,6.3,67.0,Amazon,shade
7137,Girls Just Want to Have Fun,1985,7+,6.0,38.0,Amazon,
7138,Gabrielle,2013,18+,7.0,88.0,Amazon,gabrielle
7139,Geography Club,2013,13+,6.5,64.0,Amazon,
7140,Rift,2017,,5.8,93.0,Amazon,rift
7141,Aida's Secrets,2016,,6.7,10.0,Amazon,aida's secrets
7142,Wolfblood,2013,7+,7.7,,Amazon,wolfblood
7143,Shun Li and the Poet,2011,,7.2,95.0,Amazon,
7144,A Night at the Roxbury,1998,13+,6.3,11.0,Amazon,a night at the roxbury
7145,Dil To Pagal Hai,1997,all,7.0,,Amazon,
7146,Finding Your Feet,2017,13+,6.7,70.0,Amazon,
7147,McLeod's Daughters,2001,16+,7.2,,Amazon,mcleod's daughters
7148,A Farewell to Arms,1932,7+,6.5,93.0,Amazon,
7149,Believer,2018,7+,7.0,64.0,Amazon,believer
7150,Saint Ralph,2005,13+,7.3,64.0,Amazon,
7151,Empire of Dreams: The Story of the Star Wars Trilogy,2004,,8.3,,Amazon,empire of dreams: the story of the star wars trilogy
7152,Hum Tum,2004,7+,7.0,,Amazon,
7153,Welcome to Me,2014,18+,5.9,74.0,Amazon,
7154,The Double Hour,2009,,6.7,82.0,Amazon,the double
7155,The Collector,2009,18+,6.4,29.0,Amazon,
7156,Archipelago,2011,,6.3,95.0,Amazon,archipelago
7157,A Kiss Before Dying,1956,,6.7,10.0,Amazon,
7158,My Favorite Season,1993,,7.1,92.0,Amazon,
7159,Survivorman,2004,7+,8.2,,Amazon,survivorman
7160,Scott Walker: 30 Century Man,2007,all,7.2,87.0,Amazon,
7161,Friday the 13th Part VI: Jason Lives,1986,18+,6.0,52.0,Amazon,friday the 13th
7162,The Bullet Vanishes,2012,13+,6.6,92.0,Amazon,
7163,Skin,2009,13+,6.9,84.0,Amazon,skin
7164,The Young Karl Marx,2017,,6.6,60.0,Amazon,
7165,The Living and the Dead,2016,16+,7.5,83.0,Amazon,the living and the dead
7166,The Guardians,2017,18+,6.7,95.0,Amazon,legend of the guardians: the owls of ga'hoole
7167,Hitler's Children,2011,,7.4,81.0,Amazon,
7168,Secret Diary of a Call Girl,2007,18+,7.4,,Amazon,secret diary of a call girl
7169,Yu-Gi-Oh!: The Dark Side of Dimensions,2016,7+,7.0,40.0,Amazon,
7170,White Lightning,1973,7+,6.4,86.0,Amazon,white lightning
7171,Girl Model,2011,,6.5,91.0,Amazon,
7172,The Pink Panther Show,1964,all,7.6,,Amazon,the pink panther show
7173,The Alamo,1960,,6.9,52.0,Amazon,
7174,River of Grass,1995,,6.6,94.0,Amazon,
7175,In Syria,2017,,7.0,89.0,Amazon,born in syria
7176,Tortilla Soup,2001,13+,6.7,74.0,Amazon,
7177,Aaja Nachle,2007,all,6.3,67.0,Amazon,
7178,Svengali,1931,7+,6.8,83.0,Amazon,svengali
7179,Mischief Night,2013,,4.6,10.0,Amazon,
7180,Topper Returns,1941,,6.9,89.0,Amazon,"topper returns - joan blondell, roland young, eddie ""rochester"" anderson"
7181,Top Knot Detective,2017,,6.4,10.0,Amazon,
7182,Bright Days Ahead,2013,,6.3,87.0,Amazon,
7183,Contract Killer,1998,18+,6.2,80.0,Amazon,
7184,Party Monster,2003,18+,6.3,29.0,Amazon,oddbods: party monsters
7185,Short Eyes,1977,18+,7.0,89.0,Amazon,
7186,Henry Gamble's Birthday Party,2015,18+,6.1,83.0,Amazon,
7187,The Summit,2012,18+,6.9,64.0,Amazon,
7188,Indian Summers,2015,18+,7.2,83.0,Amazon,masterpiece: indian summers
