title,Genres,original,type,streaming,runtime,action,sports,thrillers_horror,comedy,romantic,drama,others,misc,travel_life,spiritual,documentary_edu,music,military_political,kids,anime,mystery,popular,game,fantasy,regional,country,title2
Akame ga Kill!,"['action', 'anime', 'anime', 'series', 'anime', 'fantasy', 'anime', 'japanese', 'tv', 'shows', 'tv', 'thrillers', 'shounen', 'anime', 'tv', 'shows', 'based', 'on', 'manga', 'mystery', '&', 'thriller', 'anime']",False,TV,Netflix,,1.0,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,1.0,1.0,japanese,akame ga kill!
Akbar Birbal,"['tv', 'comedies', 'tv', 'dramas', ""kids'"", 'tv', 'shows', 'indian', 'tv', 'shows', 'adventures', 'movies', '&', 'tv', 'for', 'kids', 'hindi-language', 'tv', 'shows']",False,TV,Netflix,,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,1.0,"hindi-language', 'indian",akbar birbal
Akulah Balqis,"['tv', 'dramas', 'malaysian', 'tv', 'shows']",False,TV,Netflix,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,malaysian,akulah balqis
Al Hayba,"['tv', 'dramas', 'crime', 'tv', 'dramas', 'middle', 'eastern', 'tv', 'shows']",False,TV,Netflix,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,eastern,al hayba
Alexa & Katie,"['sitcoms', 'tv', 'comedies', ""kids'"", 'tv', 'shows', 'movies', '&', 'tv', 'for', 'kids', 'family', 'watch', 'together', 'tv']",True,TV,Netflix,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,alexa & katie
Alias Grace,"['tv', 'dramas', 'period', 'pieces', 'crime', 'tv', 'dramas', 'canadian', 'tv', 'shows', 'tv', 'shows', 'based', 'on', 'books']",True,TV,Netflix,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,canadian,alias grace
All About Love,"['tv', 'dramas', 'chinese', 'tv', 'shows', 'tv', 'horror', 'taiwanese', 'tv', 'shows']",False,TV,Netflix,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,1.0,"taiwanese', 'chinese",all about love
All About the Washingtons,"['sitcoms', 'tv', 'comedies', 'movies', '&', 'tv', 'for', 'kids', 'family', 'watch', 'together', 'tv']",True,TV,Netflix,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,all about the washingtons
All American,"['tv', 'dramas', 'teen', 'tv', 'shows', 'social', 'issue', 'tv', 'dramas']",False,TV,Netflix,,,,,,,1.0,,1.0,,,,,,,,,,,,,,all american
All Hail King Julien,"['tv', 'animated', 'comedies', 'tv', 'comedies', 'tv', 'cartoons', ""kids'"", 'tv', 'shows', 'movies', '&', 'tv', 'for', 'kids']",True,TV,Netflix,,,,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,all hail king julien
All Hail King Julien: Exiled,"['animal', 'tales', 'tv', 'animated', 'comedies', 'tv', 'comedies', 'tv', 'action', '&', 'adventure', 'tv', 'cartoons', ""kids'"", 'tv', 'shows', 'adventures', 'movies', '&', 'tv', 'for', 'kids', 'family', 'watch', 'together', 'tv']",True,TV,Netflix,,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,all hail king julien: exiled
Altered Carbon,"['tv', 'sci-fi', '&', 'fantasy', 'tv', 'action', '&', 'adventure', 'tv', 'dramas', 'crime', 'tv', 'dramas', 'tv', 'thrillers', 'tv', 'shows', 'based', 'on', 'books', 'cyberpunk', 'sci-fi', 'tv']",True,TV,Netflix,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,1.0,,,altered carbon
Always a Witch,"['tv', 'sci-fi', '&', 'fantasy', 'tv', 'comedies', 'tv', 'dramas', 'teen', 'tv', 'shows', 'latin', 'american', 'tv', 'shows', 'fantasy', 'tv', 'shows', 'tv', 'shows', 'based', 'on', 'books']",True,TV,Netflix,,,,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,1.0,"latin', 'american",always a witch
Amazing Interiors,"['reality', 'tv', 'shows', 'makeover', 'reality', 'tv', 'british', 'tv', 'shows', 'movies', '&', 'tv', 'for', 'kids', 'home', '&', 'garden', 'reality', 'tv', 'family', 'watch', 'together', 'tv', 'lifestyle']",True,TV,Netflix,,,,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,1.0,british,amazing interiors
America's Book of Secrets,['docuseries'],False,TV,Netflix,,,,,,,,,,,,1.0,,,,,,,,,,,america's book of secrets
American Crime,"['tv', 'dramas', 'crime', 'tv', 'dramas', 'social', 'issue', 'tv', 'dramas']",False,TV,Netflix,,,,,,,1.0,,1.0,,,,,,,,,,,,,,american crime
American Vandal,"['mockumentaries', 'tv', 'comedies', 'teen', 'tv', 'shows']",True,TV,Netflix,,,,,,,1.0,,1.0,,,,,,,,,,,,,,american vandal
Amo,"['tv', 'dramas']",True,TV,Netflix,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,amo
An Innocent Mistake,"['tv', 'dramas', 'romantic', 'tv', 'dramas', 'chinese', 'tv', 'shows', 'taiwanese', 'tv', 'shows']",False,TV,Netflix,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,"taiwanese', 'chinese",an innocent mistake
Ancient Aliens,"['science', '&', 'nature', 'docs', 'docuseries', 'science', '&', 'nature', 'tv']",False,TV,Netflix,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,ancient aliens
Angel 'N' Devil,"['tv', 'sci-fi', '&', 'fantasy', 'tv', 'comedies', 'tv', 'action', '&', 'adventure', 'tv', 'dramas', 'teen', 'tv', 'shows', 'chinese', 'tv', 'shows', 'taiwanese', 'tv', 'shows', 'fantasy', 'tv', 'shows']",False,TV,Netflix,,1.0,,,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,"taiwanese', 'chinese",angel 'n' devil
Angel Beats!,"['action', 'anime', 'anime', 'series', 'anime', 'fantasy', 'anime', 'japanese', 'tv', 'shows']",False,TV,Netflix,,,,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,1.0,japanese,angel beats!
Angry Birds,"['tv', 'animated', 'comedies', 'tv', 'comedies', 'tv', 'cartoons', ""kids'"", 'tv', 'shows', 'movies', '&', 'tv', 'for', 'kids', 'scandinavian', 'tv', 'shows', 'finnish', 'tv', 'shows']",False,TV,Netflix,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,"finnish', 'scandinavian",angry birds
Anjaan: Rural Myths,"['indian', 'tv', 'shows', 'hindi-language', 'tv', 'shows', 'tv', 'horror']",False,TV,Netflix,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,1.0,"hindi-language', 'indian",anjaan: rural myths
Anjaan: Special Crimes Unit,"['tv', 'mysteries', 'indian', 'tv', 'shows', 'hindi-language', 'tv', 'shows', 'tv', 'horror', 'tv', 'thrillers']",False,TV,Netflix,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,"hindi-language', 'indian",anjaan: special crimes unit
Anne with an E,"['tv', 'dramas', 'period', 'pieces', 'canadian', 'tv', 'shows', 'teen', 'tv', 'shows', 'tv', 'shows', 'based', 'on', 'books', 'family', 'watch', 'together', 'tv']",True,TV,Netflix,,,,,,,1.0,,1.0,,,,,,,1.0,,,,1.0,1.0,canadian,anne with an e
Anohana: The Flower We Saw That Day,"['drama', 'anime', 'anime', 'series', 'anime', 'fantasy', 'anime', 'teen', 'tv', 'shows', 'japanese', 'tv', 'shows']",False,TV,Netflix,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,1.0,,japanese,anohana: the flower we saw that day
Another Life,"['tv', 'sci-fi', '&', 'fantasy', 'alien', 'sci-fi', 'tv', 'action', '&', 'adventure', 'tv', 'dramas', 'tv', 'thrillers', 'sci-fi', 'tv']",True,TV,Netflix,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,another life
Another Miss Oh,"['tv', 'comedies', 'romantic', 'tv', 'comedies', 'korean', 'tv', 'shows']",False,TV,Netflix,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,korean,another miss oh
Answer for Heaven,"['tv', 'comedies', 'tv', 'dramas', 'crime', 'tv', 'dramas', 'thai', 'tv', 'shows']",True,TV,Netflix,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,thai,answer for heaven
Apache: The Life of Carlos Tevez,"['tv', 'dramas', 'crime', 'tv', 'dramas', 'latin', 'american', 'tv', 'shows', 'argentinian', 'tv', 'shows']",True,TV,Netflix,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,"latin', 'american', 'argentinian",apache: the life of carlos tevez
Apaches,"['tv', 'dramas', 'crime', 'tv', 'dramas', 'spanish', 'tv', 'shows', 'tv', 'shows', 'based', 'on', 'books', 'social', 'issue', 'tv', 'dramas']",False,TV,Netflix,,,,,,,1.0,,1.0,,,,,,,,,,,,,spanish,apaches
Aquarius,"['tv', 'dramas', 'crime', 'tv', 'dramas']",False,TV,Netflix,,,,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,aquarius
Archibald's Next Big Thing,"['tv', 'animated', 'comedies', 'tv', 'comedies', 'tv', 'cartoons', ""kids'"", 'tv', 'shows', 'movies', '&', 'tv', 'for', 'kids', 'tv', 'shows', 'based', 'on', 'books']",True,TV,Netflix,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,1.0,,archibald's next big thing
Ares,"['tv', 'dramas', 'tv', 'horror', 'dutch', 'tv', 'shows']",True,TV,Netflix,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,1.0,dutch,ares
Argon,"['tv', 'dramas', 'political', 'tv', 'shows', 'korean', 'tv', 'shows']",True,TV,Netflix,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,korean,argon
Ari Shaffir: Double Negative,"['dark', 'comedies', 'comedies', 'stand-up', 'comedy']",True,TV,Netflix,,,,,1.0,,,,1.0,,,,,,,,,,,,,,ari shaffir: double negative
Arrested Development,"['sitcoms', 'tv', 'comedies']",True,TV,Netflix,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,arrested development
Arrow,"['tv', 'action', '&', 'adventure', 'comic', 'book', '&', 'superhero', 'tv', 'tv', 'shows', 'based', 'on', 'comics']",False,TV,Netflix,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,arrow
Arthdal Chronicles,"['tv', 'sci-fi', '&', 'fantasy', 'tv', 'action', '&', 'adventure', 'tv', 'dramas', 'period', 'pieces', 'korean', 'tv', 'shows', 'fantasy', 'tv', 'shows']",True,TV,Netflix,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,korean,arthdal chronicles
Ash vs. Evil Dead,"['tv', 'comedies', 'tv', 'action', '&', 'adventure', 'tv', 'horror']",False,TV,Netflix,,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,,ash vs. evil dead
